ECU,AvgSpotPrice,OnDemandPrice,VM,Availability
6,0.020620906260270237,0.1,m4.large,0.9984750484634317
13,0.05157173382562238,0.2,m4.xlarge,0.9993014480103395
26,0.13180529172319783,0.4,m4.2xlarge,0.9823694270024903
53,0.2856075039975378,0.8,m4.4xlarge,0.9813271383845099
8,0.02017791466083124,0.1,c4.large,0.9997597140727632
16,0.07603514653764103,0.2,c4.xlarge,0.9951270319192037
31,0.16564409444118253,0.4,c4.2xlarge,0.9892611287674706
62,0.3152984980793866,0.8,c4.4xlarge,0.8852014794294074
132,0.6058273861932123,1.6,c4.8xlarge,0.9073442764168126
7,0.022260885350317956,0.148,r4.large,0.9763519954172585
13,0.07126968058660932,0.296,r4.xlarge,0.9768076085146212
27,0.16694836688772954,0.593,r4.2xlarge,0.9167007234943266
53,0.5046785557468789,1.186,r4.4xlarge,0.8933012759505315
14,0.19981053416383182,0.69,d2.xlarge,0.9991214214
28,0.4339925972189513,1.38,d2.2xlarge,0.998214412
56,0.5206022833595002,2.76,d2.4xlarge,0.964801010998268
16,0.970079399379526,5.52,d2.8xlarge,0.991214214
7,0.023873674056320845,0.156,i3.large,0.9998412412
13,0.06522824942263339,0.312,i3.xlarge,0.9962820756500298
27,0.17235522554001784,0.624,i3.2xlarge,0.99124124
53,0.3054895345437411,1.248,i3.4xlarge,0.9940743562420946
