ECU,AvgSpotPrice,OnDemandPrice,VM,Availability
6,0.02899303156640832,0.1,m4.large,0.999989121234
13,0.061032906174389334,0.2,m4.xlarge,0.9999889945614792
26,0.14830259483556354,0.4,m4.2xlarge,0.998915027492331
53,0.2734291035890365,0.8,m4.4xlarge,0.9987464280410326
124,0.6521691149195036,2.0,m4.10xlarge,0.9909631634166036
188,1.2592516067443666,3.2,m4.16xlarge,0.9996828973084543
8,0.02384461538461558,0.1,c4.large,0.999979121234
16,0.04974032759107575,0.2,c4.xlarge,0.99989121234
31,0.11567726566359533,0.4,c4.2xlarge,0.999121234
62,0.24438379850758077,0.8,c4.4xlarge,0.999823704626418
132,0.5308333241123773,1.6,c4.8xlarge,0.9986870052737362
7,0.022533538732394262,0.148,r4.large,0.997869073738578
13,0.04865932511356301,0.296,r4.xlarge,0.991869073738578
27,0.14361618511263213,0.593,r4.2xlarge,0.97869073738578
53,0.2853302623519748,1.186,r4.4xlarge,0.969073738578
99,0.5818595852846847,2.37,r4.8xlarge,0.935031024635
14,0.17394120171673738,0.69,d2.xlarge,0.99869073738578
28,0.15157079695860257,1.38,d2.2xlarge,0.9969073738578
56,0.5309186940965998,2.76,d2.4xlarge,0.97869073738578
16,1.3495097640514138,5.52,d2.8xlarge,0.969073738578
7,0.019858781584115175,0.156,i3.large,0.9969073738578
13,0.16073958671494493,0.312,i3.xlarge,0.997869073738578
27,0.31261706823925656,0.624,i3.2xlarge,0.97869073738578
53,0.6244626851602426,1.248,i3.4xlarge,0.9869073738578
99,1.3178005940594113,2.496,i3.8xlarge,0.9980425962896994
200,1.1754710522822802,4.992,i3.16xlarge,0.974123047483342
