ECU,AvgSpotPrice,OnDemandPrice,VM,Availability
6,0.019326125151179967,0.1,m4.large,0.9972987767020689
13,0.054636657595072406,0.2,m4.xlarge,0.9969647272413242
26,0.125199349628798,0.4,m4.2xlarge,0.9753911023542758
53,0.2967318055253542,0.8,m4.4xlarge,0.9131889354542515
8,0.018156880386983012,0.1,c4.large,0.998223033636975
16,0.05765975646013614,0.2,c4.xlarge,0.9818667457764831
31,0.14036187454345486,0.4,c4.2xlarge,0.9864167503349274
62,0.2951352623050966,0.8,c4.4xlarge,0.8987267725378774
132,0.5383109658325067,1.6,c4.8xlarge,0.8932420023348872
7,0.022227525261371752,0.148,r4.large,0.9990647972354455
13,0.06216343360828538,0.296,r4.xlarge,0.9675222943848751
27,0.1329117502825469,0.593,r4.2xlarge,0.9549941187124459
14,0.2214589753965614,0.69,d2.xlarge,0.9990345438286654
28,0.40571347525059337,1.38,d2.2xlarge,0.999846106349644
56,0.47905653502588075,2.76,d2.4xlarge,0.9972091433218029
16,0.9281154983223266,5.52,d2.8xlarge,0.9712754125
7,0.020732058600482692,0.156,i3.large,0.99871234
13,0.04453163707474508,0.312,i3.xlarge,0.9965370994345646
27,0.10287862833093658,0.624,i3.2xlarge,0.99412523
53,0.19179527134243113,1.248,i3.4xlarge,0.9976753950156477
99,0.3389991484363603,2.496,i3.8xlarge,0.9895236850792619
